season,player_id,player_name,position,weight,standing_vertical_leap,max_vertical_leap,lane_agility_time,three_quarter_sprint
2004,2740,Andris Biedrins,C,,,,,
2004,2800,Tony Bobbitt,SG,185.0,,,,
2004,12173,Brian Boddicker,SF-PF,230.0,28.0,30.0,10.93,3.25
2004,12174,Tim Bowers,PG-SG,181.0,37.0,43.5,11.24,3.21
2004,2810,Andre Brown,PF-C,236.0,32.0,35.5,11.7,3.22
2004,2766,Antonio Burks,PG,191.0,,,,
2004,2866,Jackie Butler,C,263.0,23.0,25.0,13.32,3.4
2004,12175,Aleksandar Capin,PG,176.0,23.0,29.0,11.5,3.27
2004,12176,Ales Chan,C,255.0,21.0,29.0,12.9,3.62
2004,2735,Josh Childress,SG-SF,196.0,29.0,36.0,11.95,3.38
2004,200555,TJ Cummings,SF,215.0,27.0,31.0,11.58,3.12
2004,2845,Erik Daniels,SF-PF,223.0,31.0,32.0,11.38,3.19
2004,2736,Luol Deng,SF,220.0,27.5,31.5,11.46,3.34
2004,12177,Marcus Douthit,C-PF,223.0,25.5,31.5,11.64,3.34
2004,2768,Chris Duhon,PG,193.0,31.5,35.0,10.45,3.14
2004,2823,John Edwards,C,264.0,,,,
2004,2765,Andre Emmett,SG-SF,216.0,,,,
2004,2824,Desmon Farmer,SG,214.0,24.0,31.0,10.89,3.2
2004,2784,Luis Flores,PG-SG,202.0,29.0,32.0,10.97,3.1
2004,2782,Matt Freije,SF-PF,234.0,29.5,31.0,11.15,3.25
2004,12178,Chris Garnett,C-PF,260.0,27.0,31.5,11.75,3.36
2004,101155,Ryan Gomes,SF-PF,248.0,26.5,30.5,12.49,3.24
2004,2732,Ben Gordon,PG-SG,192.0,31.5,37.5,11.28,3.19
2004,2734,Devin Harris,PG,170.0,30.5,37.0,11.03,3.19
2004,2730,Dwight Howard,PF-C,240.0,30.5,35.5,11.21,3.14
2004,12179,Rolando Howell,PF,229.0,28.5,34.5,11.91,3.28
2004,2743,Kris Humphries,PF,238.0,29.5,36.0,11.33,3.2
2004,2738,Andre Iguodala,SG-SF,217.0,30.5,34.5,11.17,3.18
2004,12180,Martin Iti,C-PF,233.0,26.5,32.5,12.28,3.41
2004,2739,Luke Jackson,SF-SG,212.0,26.5,36.0,11.1,3.24
2004,2744,Al Jefferson,PF-SF,263.0,28.5,30.0,13.08,3.29
2004,2865,Arthur Johnson,PF-C,262.0,26.5,28.5,11.81,3.38
2004,12181,Ivan Koljevic,PG,172.0,26.0,28.5,11.07,3.28
2004,12182,Herve Lamizana,SF-PF,210.0,,,,
2004,2778,Sergei Lishouk,PF-SF,244.0,,,,
2004,2733,Shaun Livingston,PG-SG,186.0,26.5,30.0,10.72,3.23
2004,12184,Jaime Lloreda,PF,247.0,25.5,29.5,12.93,3.23
2004,12000,Bryant Matthews,SF-SG,206.0,29.0,34.5,11.08,3.13
2004,12001,Marcus Melvin,SF-PF,241.0,25.0,30.5,11.81,3.33
2004,2822,Rich Melzer,PF-SF,229.0,24.5,28.5,11.74,3.39
2004,2777,Ricky Minard,PG-SG,198.0,27.5,33.0,10.94,3.1
2004,12002,James Moore,PF-SF,198.0,28.5,32.5,11.01,3.21
2004,12003,Marcus Moore,PG-SG,202.0,25.0,30.0,11.31,3.34
2004,12004,Michel Morandais,SG-SF,205.0,30.5,33.5,11.45,3.22
2004,2749,Jameer Nelson,PG,199.0,28.5,33.5,10.95,3.14
2004,12005,Misan Nikagbatse,SG-PG,223.0,27.5,32.5,11.27,3.32
2004,2731,Emeka Okafor,C-PF,257.0,31.5,34.0,12.32,3.15
2004,12006,Randall Orr,PF-SF,193.0,26.5,33.0,11.18,3.27
2004,12007,Dylan Page,SF,239.0,26.0,30.0,10.99,3.4
2004,-1,Drago Pasalic,PF,231.0,25.5,30.0,12.97,3.56
2004,12008,Rickey Paulding,SG,210.0,30.0,36.0,11.14,3.17
2004,12009,Kelvin Pena,SG-PG,182.0,27.5,32.5,11.5,3.24
2004,2773,Tim Pickett,PG-SG,207.0,,,,
2004,12010,Omar Quintero,PG,170.0,25.0,29.0,11.37,3.25
2004,2762,Peter Ramos,C,266.0,24.0,26.5,12.61,3.6
2004,2876,Jared Reiner,C-PF,246.0,22.0,26.0,12.65,3.56
2004,101160,Lawrence Roberts,PF,233.0,27.5,33.0,12.52,3.3
2004,2774,Bernard Robinson,SG-SF,208.0,28.5,34.5,10.91,3.17
2004,101126,Nate Robinson,PG,181.0,35.5,43.5,10.75,2.96
2004,12011,Aerick Sanders,PF,205.0,24.5,30.5,11.98,3.37
2004,2781,Romain Sato,SG,204.0,31.5,35.5,11.27,3.18
2004,12012,Blagota Sekulic,SF-PF,234.0,23.5,31.5,10.93,3.39
2004,2746,Josh Smith,SG-SF,221.0,32.5,39.5,11.43,3.24
2004,2747,J.R. Smith,SG-SF,227.0,29.0,35.5,10.93,3.21
2004,2745,Kirk Snyder,SG-SF,228.0,30.0,35.0,10.79,3.13
2004,2776,Pape Sow,PF-C,233.0,28.0,31.5,12.13,3.27
2004,12014,Tiago Splitter,C-PF,233.0,26.0,31.5,11.65,3.38
2004,12015,Blake Stepp,PG,,,,,
2004,12016,Tom Timmerrmans,PF-C,272.0,23.0,26.5,13.13,3.63
